Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240702_231349_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231454_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231501_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231524_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231600_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231615_000.wav,,1,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,3.63,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231623_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231626_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,15,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231641_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231649_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,12.49,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_231708_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231727_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231741_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_231800_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,9.58,,0.8,32,2024-07-02
